index;name;construction_period_start;construction_period_end;building_categories_index;building_life_time_index;number_of_dwellings_per_building;number_of_persons_per_dwelling;length_of_building;width_of_building;number_of_floors;room_height;building_geometry_special_index;percentage_of_building_surface_attached_length;percentage_of_building_surface_attached_width;share_of_window_area_on_gross_surface_area;share_of_windows_oriented_to_south;share_of_windows_oriented_to_north;gebaudebauweise_fbw;horizontal_shading_building;renovation_facade_year_start;renovation_facade_year_end;f_x3_facade;f_x2_facade;f_x1_facade;f_x0_facade;renovation_windows_year_start;renovation_windows_year_end;f_x3_windows;f_x2_windows;f_x1_windows;f_x0_windows;envelope_quality_def_index;mech_ventilation_system_index;user_profiles_index;climate_region_index;agent_mixes_index;bc_specific_userfactor;INPUT_DATA_STOP;grossfloor_area;heated_area;total_vertical_surface_area;aewd;areafloor;areawindows;areadoors;area_suitable_solar;grossvolume;heatedvolume;heated_norm_volume;characteristic_length;A_V_ratio;LEK;hwb;hwb_norm;hlpb;orig_hlpb;hlpb_dhw;t_indoor_eff_factor;effective_indoor_temp_jan;prev_index;last_action;last_action_year;mean_construction_period;uedh_sh_norm;uedh_sh_effective;uedh_sh_original;ued_dhw;climate_change_factor1;uedh_sh_climate1;climate_change_factor1a;uedh_sh_climate1a;climate_change_factor1b;uedh_sh_climate1b;climate_change_factor2;uedh_sh_climate2;ued_cool;ued_cool_climate1;ued_cool_climate1a;ued_cool_climate1b;ued_cool_climate2;ued_cool_no_int_gains;uedh_sh_savings_mech_vent;effective_heating_hours;effective_operation_hours_solar;boiler_operation_hours_dhw;distribution_operation_hours_dhw;rand_number_1;rand_number_2;rand_number_3;u_value_ceiling;u_value_exterior_walls;u_value_windows1;u_value_windows2;u_value_roof;u_value_zangendecke;u_value_floor;seam_loss_windows;n_50;envelope_quality_add_data_idx;add_building_life_time;facade_life_time_factor;windows_life_time_factor;envelope_lifetime_index;trans_loss_walls;trans_loss_ceil;trans_loss_wind;trans_loss_doors;trans_loss_floor;trans_loss_therm_bridge;trans_loss_ventilation;total_heat_losses;uedh_sh_effective_gains;uedh_sh_effective_gains_solar;uedh_sh_effective_gains_lighting;uedh_sh_effective_gains_internal_other;uedh_sh_effective_gains_internal_people;uedh_sh_norm_gains_solar_transparent;ued_cool_gains_solar_transparent;ued_cool_gains_solar_opaque;ued_cool_gains_lighting;ued_cool_gains_internal_other;ued_cool_gains_internal_people;internal_cool_gains_lighting;internal_gains_lighting;internal_cool_gains_other_appliances;internal_gains_other_appliances;internal_cool_gains_people;internal_gains_people;uedh_sh_effective_losses_before_gains;estimated_electricity_internal_gains;estimated_electricity_not_internal_gains;uedh_sh_effective_jan;uedh_sh_effective_feb;uedh_sh_effective_mar;uedh_sh_effective_apr;uedh_sh_effective_may;uedh_sh_effective_jun;uedh_sh_effective_jul;uedh_sh_effective_aug;uedh_sh_effective_sep;uedh_sh_effective_oct;uedh_sh_effective_nov;uedh_sh_effective_dec;uedh_sh_effective_gains_solar_jan;uedh_sh_effective_gains_solar_feb;uedh_sh_effective_gains_solar_mar;uedh_sh_effective_gains_solar_apr;uedh_sh_effective_gains_solar_may;uedh_sh_effective_gains_solar_jun;uedh_sh_effective_gains_solar_jul;uedh_sh_effective_gains_solar_aug;uedh_sh_effective_gains_solar_sep;uedh_sh_effective_gains_solar_oct;uedh_sh_effective_gains_solar_nov;uedh_sh_effective_gains_solar_dec;annual_mech_vent_volume_heat_recovery_mode;annual_mech_vent_volume_non_heat_recovery_mode;ued_cooling_jan;ued_cooling_feb;ued_cooling_mar;ued_cooling_apr;ued_cooling_may;ued_cooling_jun;ued_cooling_jul;ued_cooling_aug;ued_cooling_sep;ued_cooling_oct;ued_cooling_nov;ued_cooling_dec;renovation_inv_costs;of_which_maintenance_inv_costs_part;target_hwb;target_hwb_asterix;hwb_lc_factor;target_hwb_u_value_adoption_factor;hwb_original_u_values_using_days;hwb_using_days;average_effective_area_wind_west_east_red_cool;average_effective_area_wind_south_red_cool;average_effective_area_wind_north_red_cool;spec_int_gains_cool_watt;immissionFlaeche_sommer_nachweis_B8110_3;immissionsflaechenbezogenerLuftwechsel_sommer_nachweis_B8110_3;erforderliche_speicherwirksameMasse_sommer_nachweis_B8110_3;immissionsflaechenbezogene_speicherwirksameMasse_sommer_nachweis_B8110_3;heatstoragemass_ratio_sommer_nachweis_B8110_3;start_refurb_obligation_year;is_unrefurbished;deep_refurb_level;delta_hwb_refurb;average_hwb_unrefurbished_simulation_start;average_hwb_unrefurbished_current_period;hwb_ref_climate_zone;is_unrefurbished_age_not_considered;cum_inv_env_exist_build;cum_sub_env_exist_build
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;EFH_fooo_bis 1918;1880;1918;2;3;1.373070002;3;13.50532341;7.718843937;1.763090014;2.299999952;2;0.100000001;0.100000001;0.163000003;0.356999993;0.100000001;60;0.850000024;1960;2006;0;0;0;0;1960;2006;0;0;0;0;1;1;4;1;1;0;0;183.7941742;147.0353394;194.58461;143.408844;104.2454834;31.71729279;0;41.6981926;477.8648376;338.1812744;382.2918701;1.245681763;0.802773237;180.6902008;206.512085;257.6414185;20.71173477;20.71173477;5.385169029;0.773490727;16.40514565;1;no action;0;0;47352.99219;37955.71875;47352.99219;2188.6604;0.879375458;43342.38672;0.958832026;45954.03125;0.918664038;44619.42578;1.03484714;48561.46094;890.2980347;1161.298584;973.5842285;1063.714844;826.2792358;581.1498413;0;1832.570801;3065.999756;812.8474121;8760;0.119834885;0.885391116;0.960837305;1.5;1.600000024;2.148997545;2.148997545;1.5;1.5;0.949999988;0.360000014;0.400000006;1;0;1;1;1;229.4541473;156.3682251;68.16038513;0;69.32324219;52.33060455;51.9916954;627.6282959;12555.12207;6941.771973;0;4327.500977;0;21748.42969;561.7349243;131.6153259;0;196.9477997;0;0;0;4830.110352;4830.110352;0;0;50510.84766;4830.110352;0;6604.852051;5387.765625;4709.640137;2919.935303;1358.192139;496.868866;104.0987625;176.5591431;1382.000854;3247.093262;4989.38623;6579.327148;225.5291748;402.3709717;581.0178223;739.9123535;865.0549316;829.0072632;904.8660278;827.0275879;668.5579834;473.0757446;262.4733582;162.8786926;0;0;0.428222686;1.641612291;4.774738312;19.51021385;73.08908844;154.0626678;337.9601746;245.1084595;45.51043701;6.878481388;1.038314819;0.295659333;0;0;0;0;0;0;0;0;7.443215847;4.893605709;1.370757937;3.75;13.57095909;62.29870605;6032.207031;3856.841797;0.639374912;0;0.253085136;34.08319855;0;239.3736572;239.3736572;257.6414185;1;0;0
2;EFH_fooo_1919 - 1948;1919;1948;2;2;1.35326004;3;11.68137264;8.405181885;1.700209975;2.75;2;0.100000001;0.100000001;0.219999999;0.289999992;0.100000001;50;0.850000024;1960;2006;0;0;0;0;1960;2006;0;0;0;0;2;1;4;1;1;0;0;166.9335175;133.546814;208.3233032;141.6598206;98.18405914;45.83112717;0;39.27362442;509.1472168;367.2537231;347.2217102;1.326390982;0.753925502;161.8487701;208.9037781;258.1780396;19.68739891;19.68739891;5.034399033;0.784898102;16.6365509;2;no action;0;0;43098.56641;34873.04297;43098.56641;1987.880127;0.879375458;39465.92578;0.958832026;41834;0.918664038;40625.20313;1.03484714;44189.56641;1941.454834;2403.82959;2086.786621;2240.719238;1827.533325;1548.225098;0;1771.338379;3065.999756;789.7189331;8760;0.007975197;0.639529765;0.643091083;1.110000014;1.600000024;2.148997545;2.148997545;1.110000014;1.110000014;0.949999988;0.360000014;0.400000006;1;0;1;1;1;226.6557159;108.9843063;98.49098206;0;65.29239655;49.94233704;47.22215271;596.5878906;13847.78711;9239.832031;0;3767.935059;0;24255.3125;1433.630249;190.5342865;0;317.2903748;0;0;0;4387.012695;4387.012695;0;0;48720.83594;4387.012695;0;6300.096191;5049.015625;4308.240723;2521.409912;1049.864014;342.4902344;63.32763672;114.0395508;1132.500122;2960.118164;4727.861816;6304.07959;288.3845215;516.8595581;763.713623;990.4006958;1172.860107;1130.158447;1231.323853;1112.802856;880.4257813;612.5245361;334.3102112;206.0671997;0;0;0.903596818;4.156901836;13.56201172;56.08771896;193.1161957;357.1925659;689.2567749;501.7764587;106.4455872;16.25052071;2.15514946;0.55140537;0;0;0;0;0;0;0;0;12.08245087;5.744115353;1.98072958;3.75;19.78253746;46.41135025;1000000;2394.394775;0.002394395;0;0.253085136;34.4995575;0;253.18367;253.18367;258.1780396;1;0;0
3;EFH_fooo_1949 - 1957;1949;1957;2;1;1.376139998;3;12.56693649;8.156619072;1.698869944;2.359999895;2;0.100000001;0.100000001;0.200000003;0.280000001;0.100000001;30;0.850000024;1970;2006;0;0;0;0;1970;2006;0;0;0;0;3;1;4;1;1;0;0;174.1404877;139.3123932;187.2992554;131.1094513;102.5037155;37.45985031;0;41.00148773;463.2136536;328.7772217;362.2122192;1.239942551;0.806488991;136.4050751;166.8066254;191.0266876;15.52624226;15.52624226;5.185575485;0.833722413;17.62697601;3;no action;0;0;33265.48047;29047.78711;33265.48047;2073.702148;0.879375458;30539.37109;0.958832026;32317.34766;0.918664038;31409.97266;1.03484714;34082.20313;2803.605957;3229.266846;2940.84668;3082.626953;2693.474365;2210.115967;0;1870.883301;3065.999756;799.7963257;8760;0.402090013;0.812196434;0.05253417;1.110000014;0.930000007;2.110570431;2.110570431;1.110000014;1.110000014;0.949999988;0.360000014;0.400000006;1;0;1;1;1;121.9317932;113.779129;79.06165314;0;68.1649704;38.29375839;49.26086044;470.4921875;11765.43457;7148.699219;0;3784.354492;0;16751.68164;1968.990234;262.1992188;0;572.4165649;0;0;0;4576.412109;4576.412109;0;0;40813.22266;4576.412109;0;5208.047852;4176.989746;3565.188477;2108.068848;924.3453369;336.046875;80.10571289;129.8029175;971.0777588;2440.782227;3897.719482;5209.61084;221.7311401;397.686554;589.7384644;766.9071045;909.9395752;877.5222778;955.8150635;862.3650513;680.0592651;471.8834534;256.8813782;158.1697693;0;0;5.120762825;16.39780426;42.71247101;128.7191925;332.1090698;515.3446045;839.7462769;656.6411743;204.7168274;48.57737732;10.00928497;3.511070728;0;0;0;0;0;0;0;0;10.03742695;4.533031464;1.618939757;3.75;16.1902256;50.7678566;7877.142578;1571.48999;0.199500009;0;0.046310831;34.19467163;0;239.3736572;239.3736572;191.0266876;1;0;0
4;EFH_fooo_1958 - 1968;1958;1968;2;1;1.392169952;3;12.30441475;8.799910545;1.62184;2.519999981;2;0.100000001;0.100000001;0.280000001;0.330000013;0.100000001;30;0.850000024;1978;2006;0;0;0;0;1978;2006;0;0;0;0;4;1;4;1;1;0;0;175.6091766;140.4873505;193.0449982;119.687912;108.2777481;54.05260086;0;43.31110001;495.2178955;354.0281067;365.2670898;1.268826365;0.788129866;152.6170502;184.0754852;219.1442261;18.26662827;18.26662827;5.216151237;0.81057781;17.15747643;4;no action;0;0;38483.73828;32325.34375;38483.73828;2091.19165;0.879375458;35283;0.958832026;37370.60547;0.918664038;36305.24219;1.03484714;39442.54688;4430.625977;5039.189453;4627.486328;4830.191406;4272.15332;3735.83667;0;1769.639404;3065.999756;801.8140259;8760;0.961017489;0.247152984;0.954753339;0.920000017;1.440000057;2.110570431;2.110570431;0.920000017;0.920000017;0.949999988;0.360000014;0.400000006;1;0;1;1;1;172.3506012;99.61553192;114.0818176;0;72.00469971;45.80526352;49.67632675;553.5342407;14358.44922;9975.003906;0;3689.643799;0;22994.07031;3398.654297;334.5302734;0;697.4411011;0;0;0;4615.009766;4615.009766;0;0;46683.79688;4615.009766;0;5915.651367;4666.008301;3928.605713;2261.12207;959.9770508;343.8193359;81.53540039;131.3095703;1014.802856;2680.093994;4401.080078;5941.339844;318.9849548;570.1190796;830.7354736;1065.609131;1252.283569;1202.760986;1311.850098;1193.569458;956.609314;672.3884888;370.6713257;229.4219513;0;0;9.258823395;32.81378174;83.48233795;234.3370056;551.711853;800.4530029;1253.640259;1001.522888;350.1417847;89.27078247;18.04441071;5.948858261;0;0;0;0;0;0;0;0;13.31545639;7.708949566;2.336045265;3.75;23.20968056;38.13366699;1000000;1180.405884;0.001180406;0;0;33.64389801;0;239.3736572;239.3736572;219.1442261;1;0;0
5;EFH_fooo_1969 - 1978;1969;1978;2;1;1.347859979;3;13.94103813;8.831860542;1.495589972;2.599999905;2;0.100000001;0.100000001;0.270000011;0.25999999;0.100000001;30;0.850000024;1989;2006;0;0;0;0;1989;2006;0;0;0;0;5;1;4;1;1;0;0;184.1449738;147.315979;197.5417328;124.4512787;123.1253052;53.33626938;0;49.25012207;534.0203857;383.0215454;383.0215454;1.259368777;0.794048607;127.8051376;160.4981537;187.0134888;16.73412323;16.73412323;5.392361641;0.826694727;17.48441505;5;no action;0;0;34437.59375;29554.92969;34437.59375;2192.838135;0.879375458;31619.41602;0.958832026;33458.33594;0.918664038;32520.38281;1.03484714;35280.75;4159.559082;4760.140137;4353.80127;4553.857422;4003.252686;3511.578613;0;1766.147461;3065.999756;813.3126831;8760;0.742682993;0.687126756;0.739527822;0.629999995;1.210000038;2.110570431;2.110570431;0.629999995;0.629999995;0.846000016;0.360000014;0.400000006;1;0;1;1;1;150.5860596;77.56893921;112.5699539;0;72.91480255;41.36397552;52.09093094;507.0946655;14062.60938;9641.639648;0;3880.201416;0;19843.38281;3207.55835;259.8694458;0;692.1312866;0;0;0;4839.330078;4839.330078;0;0;43617.53906;4839.330078;0;5486.841309;4320.719727;3599.916504;2014.269409;801.2653809;264.1096191;55.31713867;94.65454102;880.1738281;2449.845215;4074.675781;5513.14209;295.2877502;530.3986206;792.3170776;1036.116211;1234.097656;1192.060181;1297.717407;1166.920288;914.1964111;630.9656372;341.6591492;209.9033051;0;0;5.938208103;22.37075424;63.65510178;200.4189606;515.3499756;775.49646;1234.956421;958.5765991;300.0020142;67.11667633;11.96586323;3.712218523;0;0;0;0;0;0;0;0;14.75255585;5.993225574;2.305086851;3.75;23.11202431;41.43098068;1000000;1282.472412;0.001282472;0;0;33.82145691;0;239.3736572;239.3736572;187.0134888;1;0;0
6;EFH_dooo_1979 - 1983;1979;1983;2;1;1.286000013;3;14.26317215;9.013727188;1.440029979;2.5;2;0.100000001;0.100000001;0.189999998;0.360000014;0.100000001;30;0.850000024;1994;2006;0;0;0;0;1994;2006;0;0;0;0;6;1;4;1;1;0;0;185.1365204;148.1092224;187.7088318;133.2732697;128.5643463;35.66467667;0;51.42573929;518.3822632;370.2730713;385.0839539;1.21666944;0.821915925;104.2194672;136.5799408;152.4584198;13.61387253;13.61387253;5.412671089;0.853516638;18.02851105;6;no action;0;0;28225.62109;25285.93555;28225.62109;2204.645508;0.879375458;25971.03906;0.958832026;27442.2168;0.918664038;26691.86719;1.03484714;28900.21875;1890.79126;2225.89917;1997.592651;2109.174561;1805.954834;1320.548096;0;1857.365234;3065.999756;814.6238403;8760;0.868267238;0.645509541;0.217412218;0.179571137;0.800000012;3.5;3.5;0.383234978;0.383234978;0.810000002;0.360000014;0.400000006;1;0;1;1;1;106.6186142;23.08644676;124.8263702;0;72.89598083;32.74274445;52.371418;412.5415955;11349.94922;7098.22998;0;4079.638916;0;14537.85254;1368.1875;81.22611237;0;441.377655;0;0;0;4865.388184;4865.388184;0;0;36635.88281;4865.388184;0;4597.975098;3669.432373;3121.336914;1821.933228;764.7338867;256.2912598;51.39544296;86.7456665;792.8814087;2103.563232;3419.296387;4600.349121;231.0120544;412.0735474;594.4398804;756.4011841;883.8262939;846.7873535;924.3494873;845.2615356;683.9464722;484.3192749;268.8988647;166.913147;0;0;2.817840576;9.728133202;25.91481972;78.80638885;211.0559387;338.223999;592.0976563;460.3608093;134.0712585;30.15124893;5.695034504;1.868098974;0;0;0;0;0;0;0;0;8.323321342;5.548881531;1.541355968;3.75;15.2539196;60.68490601;6290.415039;1878.466675;0.298623651;0;0;34.65747833;0;239.3736572;239.3736572;152.4584198;1;0;0
7;EFH_dooo_1984 - 1994;1984;1994;2;1;1.227890015;3;12.73849106;9.686439514;1.482509971;2.5;2;0.100000001;0.100000001;0.300000012;0.340000004;0.100000001;30;0.850000024;1999;2006;0;0;0;0;1999;2006;0;0;0;0;7;1;4;1;1;0;0;182.9278259;146.3422699;186.1730194;111.7037964;123.390625;55.85190964;0;49.35625076;512.197876;365.8556824;380.4898987;1.236186743;0.808939278;92.05683136;110.9800034;118.9213715;12.0809269;12.0809269;5.367387772;0.88869518;18.74212646;7;no action;0;0;21754.02734;20301.33008;21754.02734;2178.34375;0.879375458;19899.51563;0.958832026;21110.49805;0.918664038;20493.28125;1.03484714;22307.61133;4930.456543;5629.900879;5157.954102;5390.98584;4746.515625;4408.61084;0;1680.444702;3065.999756;811.6960449;8760;0.829546213;0.069881193;0.051757634;0.152054816;0.680000007;2.569999933;2.569999933;0.27646327;0.27646327;0.550000012;0.360000014;0.400000006;1;0;1;1;1;75.95858002;18.76213837;143.5393982;0;47.50539017;28.57655144;51.74663162;366.0887146;13549.25195;9723.530273;0;3703.031982;0;13175.3916;4000.020752;113.3245468;0;817.1112671;0;0;0;4807.343262;4807.343262;0;0;33850.57813;4807.343262;0;4040.5979;3051.918457;2424.15625;1207.50708;385.8574219;100.2266846;14.89923096;28.07342529;440.9859619;1586.727539;2926.870117;4093.509521;312.7878113;558.6704712;811.2999268;1037.878662;1217.364258;1168.265503;1274.574097;1161.605713;933.970459;658.1188354;363.6788025;225.3150177;0;0;5.076830864;24.2297039;74.04550171;242.5837402;623.1096802;912.3932495;1433.722046;1144.333252;377.7129822;79.006073;11.38440037;2.858931541;0;0;0;0;0;0;0;0;13.51732159;8.206946373;2.413807869;3.75;23.95088196;38.1881218;1000000;1182.091553;0.001182092;0;0;34.26818085;0;239.3736572;239.3736572;118.9213715;1;0;0
