bc_index;building_categories_index;climate_region_index;Af;gebaudebauweise_fbw;Hop;Htr_w;Hve;CM_factor;Am_factor;Tset;average_effective_area_wind_west_east_red_cool;average_effective_area_wind_south_red_cool;average_effective_area_wind_north_red_cool;spec_int_gains_cool_watt;hwb_norm;user_profile
1;2;1;128.913;60;240.811;88.427;36.467;398415.375;3.5;20;8.377;4.487;2.094;3.4;201.252;1
2;2;1;128.913;60;252.762;76.606;36.467;398415.375;3.5;20;8.377;4.487;2.094;3.4;201.251;1
3;2;1;128.913;60;258.023;70.397;36.467;398415.375;3.5;20;8.377;4.487;2.094;3.4;201.247;1
4;2;1;128.913;60;201.648;72.368;36.467;398415.375;3.5;20;8.377;4.487;2.094;3.4;161.786;1
5;2;1;128.913;60;238.716;90.052;36.467;398415.375;3.5;20;8.377;4.487;2.094;3.4;201.25;1
6;2;1;128.913;60;250.917;77.96;36.467;398415.375;3.5;20;8.377;4.487;2.094;3.4;201.249;1
7;2;1;128.913;60;258.023;70.397;36.467;398415.375;3.5;20;8.377;4.487;2.094;3.4;201.247;1
8;2;1;128.913;60;170.572;61.215;36.467;398415.375;3.5;20;8.377;4.487;2.094;3.4;132.061;1
9;2;1;135.654;50;299.38;105.921;38.374;338121.656;3.5;20;8.593;4.603;2.148;3.4;243.724;1
10;2;1;135.654;50;313.605;91.851;38.374;338121.656;3.5;20;8.593;4.603;2.148;3.4;243.724;1
11;2;1;135.654;50;319.883;84.396;38.374;338121.656;3.5;20;8.593;4.603;2.148;3.4;243.722;1
12;2;1;135.654;50;209.071;74.436;38.374;338121.656;3.5;20;8.593;4.603;2.148;3.4;160.162;1
13;2;1;135.654;50;296.915;107.803;38.374;338121.656;3.5;20;8.593;4.603;2.148;3.4;243.723;1
14;2;1;135.654;50;311.437;93.412;38.374;338121.656;3.5;20;8.593;4.603;2.148;3.4;243.723;1
15;2;1;135.654;50;319.883;84.396;38.374;338121.656;3.5;20;8.593;4.603;2.148;3.4;243.722;1
16;2;1;135.654;50;193.835;69.012;38.374;338121.656;3.5;20;8.593;4.603;2.148;3.4;146.24;1
17;2;1;144.252;30;286.131;107.24;40.806;213505.516;3;20;8.146;4.364;2.037;3.4;226.858;1
18;2;1;144.252;30;300.659;92.857;40.806;213505.516;3;20;8.146;4.364;2.037;3.4;226.857;1
19;2;1;144.252;30;308.846;84.084;40.806;213505.516;3;20;8.146;4.364;2.037;3.4;226.856;1
20;2;1;144.252;30;191.025;62.207;40.806;213505.516;3;20;8.146;4.364;2.037;3.4;136.121;1
21;2;1;154.111;30;206.633;81.917;43.595;213505.516;3;20;8.42;4.511;2.105;3.4;148.048;1
22;2;1;154.111;30;217.794;70.847;43.595;213505.516;3;20;8.42;4.511;2.105;3.4;148.055;1
23;2;1;154.111;30;217.033;71.956;43.595;213505.516;3;20;8.42;4.511;2.105;3.4;148.042;1
24;2;1;154.111;30;153.329;64.398;43.595;213505.516;3;20;8.42;4.511;2.105;3.4;105.937;1
25;2;1;163.28;30;210.663;94.412;46.189;213505.516;3;20;8.819;4.724;2.205;3.4;148.061;1
26;2;1;163.28;30;219.905;85.239;46.189;213505.516;3;20;8.819;4.724;2.205;3.4;148.06;1
27;2;1;163.28;30;229.994;75.223;46.189;213505.516;3;20;8.819;4.724;2.205;3.4;148.059;1
28;2;1;163.28;30;162.404;67.927;46.189;213505.516;3;20;8.819;4.724;2.205;3.4;105.949;1
29;2;1;165.929;30;143.563;76.518;46.938;213505.516;3;20;8.89;4.763;2.223;3.4;98.726;1
30;2;1;165.929;30;150.687;69.441;46.938;213505.516;3;20;8.89;4.763;2.223;3.4;98.724;1
31;2;1;165.929;30;144.01;66.364;46.938;213505.516;3;20;8.89;4.763;2.223;3.4;93.462;1
32;2;1;169.555;25;121.403;69.109;47.964;181194.891;2.833;20;6.419;3.439;1.605;3.4;88.867;1
