bc_index;building_categories_index;climate_region_index;Af;gebaudebauweise_fbw;Hop;Htr_w;Hve;CM_factor;Am_factor;Tset;average_effective_area_wind_west_east_red_cool;average_effective_area_wind_south_red_cool;average_effective_area_wind_north_red_cool;spec_int_gains_cool_watt;hwb_norm;user_profile
1;2;1;183.794;60;455.146;120.491;51.992;398415.375;3.5;20;7.443;4.894;1.371;3;257.641;4
2;2;1;166.934;50;400.932;148.433;47.222;338121.656;3.5;20;12.082;5.744;1.981;3;258.178;4
3;2;1;174.14;30;303.876;117.355;49.261;213505.516;3;20;10.037;4.533;1.619;3;191.027;4
4;2;1;175.609;30;343.971;159.887;49.676;213505.516;3;20;13.315;7.709;2.336;3;219.144;4
5;2;1;184.145;30;301.07;153.934;52.091;213505.516;3;20;14.753;5.993;2.305;3;187.013;4
6;2;1;185.137;30;202.601;157.569;52.371;213505.516;3;20;8.323;5.549;1.541;3;152.458;4
7;2;1;182.928;30;142.226;172.116;51.747;213505.516;3;20;13.517;8.207;2.414;3;118.921;4
8;2;1;177.626;30;97.708;104.579;50.247;213505.516;3;20;15.365;5.587;2.328;3;71.815;4
9;2;1;176.861;20;92.08;63.845;50.031;148226.875;2.667;20;8.452;3.622;1.342;3;63.488;4
10;2;1;177.167;20;95.671;61.018;50.117;148226.875;2.667;20;7.959;3.411;1.263;3;64.702;4
11;2;1;186.503;20;95.31;66.344;52.758;148226.875;2.667;20;8.789;3.767;1.395;3;62.465;4
12;2;1;169.459;20;90.635;62.116;47.937;148226.875;2.667;20;8.207;3.517;1.303;3;64.935;4
13;2;1;214.028;20;105.906;72.106;60.544;148226.875;2.667;20;9.517;4.079;1.511;3;60.422;4
14;2;1;155.954;20;83.956;59.2;44.116;148226.875;2.667;20;7.86;3.368;1.248;3;65.665;4
15;3;1;151.969;60;294.398;102.882;42.989;398415.375;3.5;20;9.533;2.551;1.343;3;208.753;4
16;3;1;142.964;50;249.62;86.112;40.442;338121.656;3.5;20;8.049;2.012;1.118;3;188.585;4
17;3;1;149.278;30;183.679;124.653;42.228;213505.516;3;20;14.641;3.166;1.979;3;150.635;4
18;3;1;143.645;30;296.603;64.478;40.634;213505.516;3;20;4.667;1.167;0.648;3;216.558;4
19;3;1;151.571;30;160.877;116.74;42.876;213505.516;3;20;10.867;5.996;1.874;3;130.475;4
20;3;1;154.146;30;120.484;86.677;43.605;213505.516;3;20;8.1;2.168;1.141;3;103.015;4
21;3;1;152.423;30;115.973;97.494;43.117;213505.516;3;20;7.616;4.202;1.313;3;103.43;4
22;3;1;154.716;30;76.596;54.615;43.766;213505.516;3;20;8.532;1.845;1.153;3;60.333;4
23;3;1;151.438;20;43.104;92.518;42.839;148226.875;2.667;20;14.296;5.198;2.166;3;52.617;4
24;3;1;146.201;20;41.947;91.163;41.357;148226.875;2.667;20;14.095;5.125;2.136;3;53.318;4
25;3;1;170.843;20;44.549;106.617;48.328;148226.875;2.667;20;16.557;6.021;2.509;3;51.239;4
26;3;1;174.619;20;47.116;102.681;49.396;148226.875;2.667;20;15.878;5.774;2.406;3;50.495;4
