Date/Time;THERMAL ZONE 1:Zone Air Temperature [C](Hourly);THERMAL ZONE 2:Zone Air Temperature [C](Hourly);DistrictCooling:Facility [J](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00;20;20;0;17122939.73
 01/01  02:00:00;20;20;0;17098594.63
 01/01  03:00:00;20;20;0;17171389.81
 01/01  04:00:00;20;20;0;17219649.12
 01/01  05:00:00;20;20;0;17246972.3
 01/01  06:00:00;20;20;0;17303654.97
 01/01  07:00:00;20;20;0;17391719.78
 01/01  08:00:00;20;20;0;17493533.66
 01/01  09:00:00;20;20;0;17519705.24
 01/01  10:00:00;20;20;0;17208491.5
 01/01  11:00:00;20;20;0;16687537.12
 01/01  12:00:00;20;20;0;16466326.81
 01/01  13:00:00;20;20;0;16322684.41
 01/01  14:00:00;20;20;0;16338480.62
 01/01  15:00:00;20;20;0;16500380.44
 01/01  16:00:00;20;20;0;16732744.75
 01/01  17:00:00;20;20;0;16915079.01
 01/01  18:00:00;20;20;0;17015549.38
 01/01  19:00:00;20;20;0;17079696.05
 01/01  20:00:00;20;20;0;17119366.86
 01/01  21:00:00;20;20;0;17174003.45
 01/01  22:00:00;20;20;0;17229007.58
 01/01  23:00:00;20;20;0;17256202.76
 01/01  24:00:00;20;20;0;17291597.21
 01/02  01:00:00;20;20;0;17324330.79
 01/02  02:00:00;20;20;0;17323308.72
 01/02  03:00:00;20;20;0;17314046.62
 01/02  04:00:00;20;20;0;17324983.95
 01/02  05:00:00;20;20;0;17356168.44
 01/02  06:00:00;20;20;0;17481842.97
 01/02  07:00:00;20;20;0;17552167.53
 01/02  08:00:00;20;20;0;17568340.96
 01/02  09:00:00;20;20;0;17557849.64
 01/02  10:00:00;20;20;0;17440563.27
 01/02  11:00:00;20;20;0;16959946.68
 01/02  12:00:00;20;20;0;16921644.75
 01/02  13:00:00;20;20;0;16827774.87
 01/02  14:00:00;20;20;0;16649332.69
 01/02  15:00:00;20;20;0;16837065.23
 01/02  16:00:00;20;20;0;16956164.1
 01/02  17:00:00;20;20;0;16930317.28
 01/02  18:00:00;20;20;0;16960859.94
 01/02  19:00:00;20;20;0;17000775.88
 01/02  20:00:00;20;20;0;16976937.88
 01/02  21:00:00;20;20;0;16892880.3
 01/02  22:00:00;20;20;0;16843486.84
 01/02  23:00:00;20;20;0;16827985.53
 01/02  24:00:00;20;20;0;16795740.45
 01/03  01:00:00;20;20;0;16741166.02
 01/03  02:00:00;20;20;0;16689575.85
 01/03  03:00:00;20;20;0;16651708.46
 01/03  04:00:00;20;20;0;16635978.54
 01/03  05:00:00;20;20;0;16730962.67
 01/03  06:00:00;20;20;0;16777304.83
 01/03  07:00:00;20;20;0;16752138.67
 01/03  08:00:00;20;20;0;16700379.45
 01/03  09:00:00;20;20;0;16599167.28
 01/03  10:00:00;20;20;0;16424976.08
 01/03  11:00:00;20;20;0;16248537.66
 01/03  12:00:00;20;20;0;16072760.55
 01/03  13:00:00;20;20;0;15893248.58
 01/03  14:00:00;20;20;0;15580263.07
 01/03  15:00:00;20;20;0;15628976.94
 01/03  16:00:00;20;20;0;15820440.38
 01/03  17:00:00;20;20;0;16061085.59
 01/03  18:00:00;20;20;0;16199484.86
 01/03  19:00:00;20;20;0;16303234.52
 01/03  20:00:00;20;20;0;16432797.22
 01/03  21:00:00;20;20;0;16584458.72
 01/03  22:00:00;20;20;0;16660026.96
 01/03  23:00:00;20;20;0;16672926.43
 01/03  24:00:00;20;20;0;16698635.21
 01/04  01:00:00;20;20;0;16767556.49
 01/04  02:00:00;20;20;0;16948172.5
 01/04  03:00:00;20;20;0;17086332.2
 01/04  04:00:00;20;20;0;17176405.69
 01/04  05:00:00;20;20;0;17351987.92
 01/04  06:00:00;20;20;0;17421137.62
 01/04  07:00:00;20;20;0;17450562.55
 01/04  08:00:00;20;20;0;17593182.61
 01/04  09:00:00;20;20;0;17671965.47
 01/04  10:00:00;20;20;0;17503886.56
 01/04  11:00:00;20;20;0;17295445.96
 01/04  12:00:00;20;20;0;16894010.44
 01/04  13:00:00;20;20;0;16721875.38
 01/04  14:00:00;20;20;0;16717648.19
 01/04  15:00:00;20;20;0;16723541.11
 01/04  16:00:00;20;20;0;17229570.51
 01/04  17:00:00;20;20;0;17466467.54
 01/04  18:00:00;20;20;0;17595816.61
 01/04  19:00:00;20;20;0;17653956.86
 01/04  20:00:00;20;20;0;17614624.84
 01/04  21:00:00;20;20;0;17679710.82
 01/04  22:00:00;20;20;0;17707833.19
 01/04  23:00:00;20;20;0;17828894.77
 01/04  24:00:00;20;20;0;17972370.72
 01/05  01:00:00;20;20;0;18059682.58
 01/05  02:00:00;20;20;0;18160813.83
 01/05  03:00:00;20;20;0;18297289.64
 01/05  04:00:00;20;20;0;18385678.82
