Date/Time;;total;direct;diffuse
 01/01  01:00:00;;0;0;0
 01/01  02:00:00;;0;0;0
 01/01  03:00:00;;0;0;0
 01/01  04:00:00;;0;0;0
 01/01  05:00:00;;0;0;0
 01/01  06:00:00;;0;0;0
 01/01  07:00:00;;0;0;0
 01/01  08:00:00;;0;0;0
 01/01  09:00:00;;104.3080208;0;104.3080208
 01/01  10:00:00;;614.5698754;16.84934258;597.7205328
 01/01  11:00:00;;1126.368825;69.74290103;1056.625924
 01/01  12:00:00;;1217.290805;9.468232107;1207.822573
 01/01  13:00:00;;1284.506042;11.21581873;1273.290223
 01/01  14:00:00;;1139.328928;1.268423455;1138.060505
 01/01  15:00:00;;759.7652094;0;759.7652094
 01/01  16:00:00;;285.0464922;0;285.0464922
 01/01  17:00:00;;29.66498738;0;29.66498738
 01/01  18:00:00;;0;0;0
 01/01  19:00:00;;0;0;0
 01/01  20:00:00;;0;0;0
 01/01  21:00:00;;0;0;0
 01/01  22:00:00;;0;0;0
 01/01  23:00:00;;0;0;0
 01/01  24:00:00;;0;0;0
 01/02  01:00:00;;0;0;0
 01/02  02:00:00;;0;0;0
 01/02  03:00:00;;0;0;0
 01/02  04:00:00;;0;0;0
 01/02  05:00:00;;0;0;0
 01/02  06:00:00;;0;0;0
 01/02  07:00:00;;0;0;0
 01/02  08:00:00;;0;0;0
 01/02  09:00:00;;26.5582991;0;26.5582991
 01/02  10:00:00;;231.5534813;0;231.5534813
 01/02  11:00:00;;706.2173066;0;706.2173066
 01/02  12:00:00;;517.6820233;0;517.6820233
 01/02  13:00:00;;521.4573914;0;521.4573914
 01/02  14:00:00;;464.7493466;0;464.7493466
 01/02  15:00:00;;313.8619315;0;313.8619315
 01/02  16:00:00;;132.48265;0;132.48265
 01/02  17:00:00;;14.2165789;0;14.2165789
 01/02  18:00:00;;0;0;0
 01/02  19:00:00;;0;0;0
 01/02  20:00:00;;0;0;0
 01/02  21:00:00;;0;0;0
 01/02  22:00:00;;0;0;0
 01/02  23:00:00;;0;0;0
 01/02  24:00:00;;0;0;0
 01/03  01:00:00;;0;0;0
 01/03  02:00:00;;0;0;0
 01/03  03:00:00;;0;0;0
 01/03  04:00:00;;0;0;0
 01/03  05:00:00;;0;0;0
 01/03  06:00:00;;0;0;0
 01/03  07:00:00;;0;0;0
 01/03  08:00:00;;0;0;0
 01/03  09:00:00;;26.55753721;0;26.55753721
