bc_index,building_categories_index,climate_region_index,Af,gebaudebauweise_fbw,Hop,Htr_w,Hve,CM_factor,Am_factor,Tset,average_effective_area_wind_west_east_red_cool,average_effective_area_wind_south_red_cool,average_effective_area_wind_north_red_cool,spec_int_gains_cool_watt,hwb_norm,user_profile
DUE to the large number of rows the FULL data are exported in binary format only (Total number of rows: 5970)
1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.011040039062500000e+02,6.000000000000000000e+01,4.307302856445312500e+02,1.648600921630859375e+02,5.688829803466796875e+01,3.984153747558593750e+02,3.500000000000000000e+00,2.000000000000000000e+01,9.777662277221679688e+00,4.876295089721679688e+00,2.679545640945434570e+00,4.250000000000000000e+00,4.100670166015625000e+02,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.011040039062500000e+02,6.000000000000000000e+01,2.906148071289062500e+02,1.216196517944335938e+02,5.688829803466796875e+01,3.984153747558593750e+02,3.500000000000000000e+00,2.000000000000000000e+01,8.289978981018066406e+00,3.978264093399047852e+00,2.373311996459960938e+00,4.250000000000000000e+00,2.778231811523437500e+02,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.011040039062500000e+02,6.000000000000000000e+01,4.508406982421875000e+02,1.668711395263671875e+02,5.688829803466796875e+01,3.984153747558593750e+02,3.500000000000000000e+00,2.000000000000000000e+01,9.777662277221679688e+00,4.876295089721679688e+00,2.679545640945434570e+00,4.250000000000000000e+00,4.259338073730468750e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.011040039062500000e+02,6.000000000000000000e+01,2.596024475097656250e+02,7.579530334472656250e+01,5.688829803466796875e+01,3.984153747558593750e+02,3.500000000000000000e+00,2.000000000000000000e+01,8.289978981018066406e+00,3.978264093399047852e+00,2.373311996459960938e+00,4.250000000000000000e+00,2.198618469238281250e+02,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.289128265380859375e+02,6.000000000000000000e+01,3.267369995117187500e+02,1.309239196777343750e+02,3.646686172485351562e+01,3.984153747558593750e+02,3.500000000000000000e+00,2.000000000000000000e+01,7.888007640838623047e+00,3.933890581130981445e+00,2.161690235137939453e+00,4.250000000000000000e+00,4.862499694824218750e+02,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.289128265380859375e+02,6.000000000000000000e+01,2.166682434082031250e+02,9.633697509765625000e+01,3.646686172485351562e+01,3.984153747558593750e+02,3.500000000000000000e+00,2.000000000000000000e+01,6.687837600708007812e+00,3.209415197372436523e+00,1.914639949798583984e+00,4.250000000000000000e+00,3.234009094238281250e+02,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.289128265380859375e+02,6.000000000000000000e+01,3.396282653808593750e+02,1.322130432128906250e+02,3.646686172485351562e+01,3.984153747558593750e+02,3.500000000000000000e+00,2.000000000000000000e+01,7.888007640838623047e+00,3.933890581130981445e+00,2.161690235137939453e+00,4.250000000000000000e+00,5.021237792968750000e+02,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.289128265380859375e+02,6.000000000000000000e+01,1.832366943359375000e+02,5.648425292968750000e+01,3.646686172485351562e+01,3.984153747558593750e+02,3.500000000000000000e+00,2.000000000000000000e+01,6.687837600708007812e+00,3.209415197372436523e+00,1.914639949798583984e+00,4.250000000000000000e+00,2.372072143554687500e+02,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.356540527343750000e+02,5.000000000000000000e+01,3.540043029785156250e+02,1.361867980957031250e+02,3.837382125854492188e+01,3.381216430664062500e+02,3.500000000000000000e+00,2.000000000000000000e+01,8.091622352600097656e+00,4.035436630249023438e+00,2.217490434646606445e+00,4.250000000000000000e+00,4.979421386718750000e+02,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.356540527343750000e+02,5.000000000000000000e+01,3.540043029785156250e+02,1.119980621337890625e+02,3.837382125854492188e+01,3.381216430664062500e+02,3.500000000000000000e+00,2.000000000000000000e+01,8.091622352600097656e+00,4.035436630249023438e+00,2.217490434646606445e+00,4.250000000000000000e+00,4.706993408203125000e+02,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.356540527343750000e+02,5.000000000000000000e+01,1.539475555419921875e+02,8.796093750000000000e+01,3.837382125854492188e+01,3.381216430664062500e+02,3.500000000000000000e+00,2.000000000000000000e+01,6.860471725463867188e+00,3.292260408401489258e+00,1.964062929153442383e+00,4.250000000000000000e+00,2.282763671875000000e+02,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.356540527343750000e+02,5.000000000000000000e+01,3.675697021484375000e+02,1.375433349609375000e+02,3.837382125854492188e+01,3.381216430664062500e+02,3.500000000000000000e+00,2.000000000000000000e+01,8.091622352600097656e+00,4.035436630249023438e+00,2.217490434646606445e+00,4.250000000000000000e+00,5.138251342773437500e+02,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.356540527343750000e+02,5.000000000000000000e+01,3.675697021484375000e+02,1.375433349609375000e+02,3.837382125854492188e+01,3.381216430664062500e+02,3.500000000000000000e+00,2.000000000000000000e+01,8.091622352600097656e+00,4.035436630249023438e+00,2.217490434646606445e+00,4.250000000000000000e+00,5.138251342773437500e+02,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.356540527343750000e+02,5.000000000000000000e+01,1.911752014160156250e+02,5.693238830566406250e+01,3.837382125854492188e+01,3.381216430664062500e+02,3.500000000000000000e+00,2.000000000000000000e+01,6.860471725463867188e+00,3.292260408401489258e+00,1.964062929153442383e+00,4.250000000000000000e+00,2.344278564453125000e+02,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.442523193359375000e+02,3.000000000000000000e+01,2.990895690917968750e+02,1.257207183837890625e+02,4.080609512329101562e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,7.692237377166748047e+00,3.836256027221679688e+00,2.108039855957031250e+00,4.250000000000000000e+00,4.043807373046875000e+02,1.000000000000000000e+00
