up_index,Tset_heating_use_days,Tset_heating_nonuse_days,Tset_cooling_use_days,Tset_cooling_nonuse_days,dpm_january,dpm_february,dpm_march,dpm_april,dpm_may,dpm_june,dpm_july,dpm_august,dpm_september,dpm_october,dpm_november,dpm_december,hours_use_per_day,DHW_per_day
1.000000000000000000e+00,2.000000000000000000e+01,1.800000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,3.100000000000000000e+01,2.800000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,2.400000000000000000e+01,3.675000000000000000e+01
2.000000000000000000e+00,2.000000000000000000e+01,1.800000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,2.845454597473144531e+01,2.545454597473144531e+01,2.845454597473144531e+01,2.745454597473144531e+01,2.845454597473144531e+01,2.745454597473144531e+01,2.845454597473144531e+01,2.845454597473144531e+01,2.745454597473144531e+01,2.845454597473144531e+01,2.745454597473144531e+01,2.845454597473144531e+01,1.372727298736572266e+01,2.500000000000000000e+01
3.000000000000000000e+00,1.700000000000000000e+01,1.500000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,2.845454597473144531e+01,2.545454597473144531e+01,2.845454597473144531e+01,2.745454597473144531e+01,2.845454597473144531e+01,2.745454597473144531e+01,2.845454597473144531e+01,2.845454597473144531e+01,2.745454597473144531e+01,2.845454597473144531e+01,2.745454597473144531e+01,2.845454597473144531e+01,1.372727298736572266e+01,2.500000000000000000e+01
4.000000000000000000e+00,2.000000000000000000e+01,1.800000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,3.100000000000000000e+01,2.800000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,2.400000000000000000e+01,3.675000000000000000e+01
5.000000000000000000e+00,2.000000000000000000e+01,1.800000000000000000e+01,2.200000000000000000e+01,2.600000000000000000e+01,2.300000000000000000e+01,2.000000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.750000000000000000e+01
6.000000000000000000e+00,2.000000000000000000e+01,1.800000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,2.300000000000000000e+01,2.000000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,3.500000000000000000e+01
7.000000000000000000e+00,2.000000000000000000e+01,1.800000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,2.300000000000000000e+01,2.000000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,2.200000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,3.500000000000000000e+01
8.000000000000000000e+00,2.200000000000000000e+01,2.000000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,3.100000000000000000e+01,2.800000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,2.400000000000000000e+01,7.000000000000000000e+01
9.000000000000000000e+00,2.200000000000000000e+01,2.000000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,3.100000000000000000e+01,2.800000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,2.400000000000000000e+01,7.000000000000000000e+01
1.000000000000000000e+01,2.000000000000000000e+01,1.800000000000000000e+01,2.400000000000000000e+01,2.600000000000000000e+01,3.100000000000000000e+01,2.800000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,1.200000000000000000e+01,3.500000000000000000e+01
