ID_Vehicle,type,capacity,capacity_unit,consumption_rate,consumption_rate_unit,charge_efficiency,charge_power_max,charge_power_max_unit,discharge_efficiency,discharge_power_max,discharge_power_max_unit,charge_bidirectional,id_parking_at_home_profile,id_distance_profile
199870651,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,199870651,199870651
199870711,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199870711,199870711
199870771,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199870771,199870771
199870772,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199870772,199870772
199870851,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199870851,199870851
199871011,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199871011,199871011
199871171,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,199871171,199871171
199871431,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199871431,199871431
199871432,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199871432,199871432
199871452,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199871452,199871452
199871591,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199871591,199871591
199871711,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199871711,199871711
199871811,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199871811,199871811
199871851,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199871851,199871851
199871871,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199871871,199871871
199871872,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199871872,199871872
199872011,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199872011,199872011
199872091,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199872091,199872091
199872211,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,199872211,199872211
199872231,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,199872231,199872231
199872311,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199872311,199872311
199872491,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,199872491,199872491
199872492,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199872492,199872492
199872511,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199872511,199872511
199872512,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199872512,199872512
199872531,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,199872531,199872531
199872591,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,199872591,199872591
