id_hour;people_at_home_profile_1;hot_water_demand_profile_1;appliance_electricity_demand_profile_1;vehicle_at_home_profile_1;vehicle_distance_profile_1
1;1;65.53575;75.95;1;0
2;1;25.869375;58.12;1;0
3;1;6.8985;52.22;1;0
4;1;10.34775;48.7;1;0
5;1;36.217125;47.8;1;0
6;1;146.593125;49.92;1;0
7;1;315.606375;57.24;1;0
8;1;412.185375;94.34;0;9.410801963
9;1;396.66375;158.26;0;56.46481178
10;1;305.258625;206.79;0;7.528641571
11;1;250.070625;244.4;0;51.7594108
12;1;232.824375;260.7;0;14.11620295
13;1;227.6505;228.38;1;0
14;1;227.6505;178.63;1;0
15;1;206.955;149.68;1;0
16;1;182.81025;133.99;1;0
17;1;162.11475;146.51;1;0
18;1;236.273625;186.25;0;9.410801963
19;1;288.012375;215.35;0;23.52700491
20;1;341.47575;208.73;0;23.52700491
21;1;281.113875;173.99;1;0
22;1;281.113875;150.73;1;0
23;1;217.30275;114.82;1;0
24;1;169.01325;79.84;1;0
25;1;115.549875;56.56;1;0
26;1;60.361875;49.79;1;0
27;1;34.4925;48.21;1;0
28;1;15.521625;48.21;1;0
29;1;20.6955;53.49;1;0
30;1;36.217125;94.84;1;0
31;1;65.53575;153.93;1;0
32;1;172.4625;167.55;0;3.977570485
33;1;358.722;157.11;0;47.73084582
34;1;503.5905;145.79;0;3.977570485
35;1;507.03975;145.59;0;43.75327534
36;1;438.05475;158.65;0;11.93271146
37;1;415.634625;164.63;1;0
38;1;448.4025;147.82;1;0
39;1;425.982375;133.17;1;0
40;1;432.880875;128.72;1;0
41;1;479.44575;150.16;0;15.91028194
42;1;574.300125;195.59;1;0
43;1;605.343375;230.66;1;0
44;1;513.93825;219.13;0;34.20710617
45;1;358.722;182.56;1;0
46;1;217.30275;153.91;1;0
47;1;141.41925;117.22;1;0
48;1;127.62225;80.5;1;0
49;1;106.92675;56.65;1;0
50;1;87.955875;49.87;1;0
51;1;60.361875;48.29;1;0
52;1;25.869375;48.28;1;0
53;1;20.6955;53.56;1;0
54;1;15.521625;94.98;1;0
55;1;46.564875;154.14;1;0
56;1;172.4625;167.79;1;0
57;1;362.17125;157.33;0;8.932792975
58;1;579.474;146;0;0
59;1;629.488125;145.79;0;0
60;1;612.241875;158.87;0;0
61;1;520.83675;164.86;0;3.57311719
62;1;448.4025;148.03;1;0
63;1;324.2295;133.35;1;0
64;1;217.30275;128.91;1;0
65;1;172.4625;150.37;0;5.359675785
66;1;217.30275;195.86;1;0
67;1;289.737;230.98;0;3.57311719
68;1;305.258625;219.44;0;0
69;1;288.012375;182.83;0;3.57311719
70;1;277.664625;154.11;1;0
71;1;227.6505;117.39;1;0
72;1;169.01325;80.6;1;0
73;1;65.53575;56.71;1;0
74;1;25.869375;49.93;1;0
75;1;6.8985;48.33;1;0
76;1;10.34775;48.34;1;0
77;1;36.217125;53.63;1;0
78;1;146.593125;95.1;1;0
79;1;315.606375;154.36;1;0
80;1;412.185375;168.02;0;5.521003819
81;1;396.66375;157.53;0;0
82;1;305.258625;146.19;0;0
83;1;250.070625;145.99;0;0
84;1;232.824375;159.08;0;0
85;1;227.6505;165.08;0;6.625204582
86;1;227.6505;148.23;0;12.69830878
87;1;206.955;133.54;0;0
88;1;182.81025;129.07;0;0
89;1;162.11475;150.57;0;5.521003819
90;1;236.273625;196.11;0;5.521003819
91;1;288.012375;231.28;1;0
92;1;341.47575;219.73;1;0
